অকাল	ɔ k a l
অঙ্গ	ɔ ŋ ɡ o
অঙ্গার	ɔ ŋ ɡ a r
অজগর	ɔ d͡ʒ ɔ ɡ ɔ ɾ
অঞ্চল	ɔ n t ʃ ɔ l
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ ɔ b ɑ
অনেক	ɔ n e k
অন্ন	ɔ nː ɔ
অপারেশন	ɔ p ɑ ɾ e ʃ ɔ n
অমার্জনীয়	ɔ m ɑ ɾ d͡ʒ ɔ n i ɔ
অরণ্য	ɔ ɾ o nː o
অর্থাৎ	ɔ r t̪ʰ a t̪
অশনি	ɔ ʃ o n i
অশোত	ɔ ʃ o t
অসুস্থ	ɔ ʃ u s tʰ ɔ
অহরহ	ɔ ɦ ɔ ɾ ɔ ɦ ɔ
আঁই	ã i
আঁস	a ʃ
আংশিক	a ŋ ʃ i k
আইজ	a i z
আইজকাইল	a i z k a i l
আইজকো	a i z k ɔ
আইজ্যা	a i d͡ʑ d͡ʑ a
আগুন	a ɡ u n
আগ্রাবাদ	a ɡ ɾ a b a d
আজ	a d ʒ
আজব	a d ʒ o b
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
আডা	a d̺ a
আঢ়	a ɾ
আণ্ডা	a ɳ ɖ a
আতকা	a t̪ k a
আতশ	a t̪ o ʃ
আদমশুমার	ɑ d̪ ɔ m ʃ u m ɑ ɾ
আদেশ	ɑ d̪ e ʃ
আন্তর্জাল	ɑ n t̪ ɔ ɾ d͡ʒ ɑ l
আন্ধাইর	a n d̪ʱ a i ɾ
আবহাওয়া	a b o h a w a
আবির	ä b i ɾ
আব্বু	a b b u
আমড়া	a m ɽ a
আমরার	a m ɾ a ɾ
আমলকী	a m l o k i
আমাগর	a m a ɡ ɔ ɾ
আমাদের	ɑ m ɑ d e r
আমার	ɑː m ɑ ɹ
আম্মে	a m m e
আর্তব	ɑ ɾ t̪ ɔ b
আলাপ	a l a p
আলো	a l o
আশোত	a ʃ o t
আষ্ট	a ʃ t̺ ɔ
আসিফ	a s i f
ইগা	i ɡ a
ইটানো	i ʈ a n o
ইডা	i d̺ a
ইন	i n
ইনকিলাব	i n k i l ɑ b
ইনকিলাবি	i n k i l ɑ b i
ইনশাআল্লাহ্	i n ʃ a a l l aʱ
ইন্দু	i n d̪ u
ইয়ান	i a n
ইলিশ	i l i ʃ
ঈগল	i ɡ ɔ l
উক্কা	u k k a
উঙ্ঘানো	u ŋ ɡʱ a n ɔ
উদিন	u d̪ i n
উন্দূর	u n d̪ u ɾ
উয়াস	u a ʃ
উল্কা	u l k ɐ
উল্কি	u l k i
উষ্ণ	u ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
ঋতু	ɾ i t̪ u
একজিবিশন	e k d͡ʒ i b i ʃ ɔ n
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এবে	e b e
এলাকা	e l a k a
ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
ওঠা	o ʈʰ a
ওদের	ɔː ð ɛ ɹ
ওয়াদা	w a d a
কখন	k ɒ kʰ ɒ n
কখনও	k ɔ kʰ ɔ n o
কঠিন	k ɔ ʈʰ i n
কত	k ɔ t̪ o
কদম	k ɔ d ɔ m
কদাচিৎ	k ɔ d̪ ɑ t͡ʃ i t̪
কদু	k o d̪ u
কনকচাঁপা	k ɔ n ɔ k c ã p a
কন্ডম	k ɔ n ɖ ɔ m
কফ	k ɔ pʰ
কবুতর	k o b u t̪ ɔ r
কবে	k oː b ɛ
কয়	k ɔ e̯
কয়ফল	k ɒ e̯ ɸ ɒ l
