adjö	a j øː
affär	a ¹ f ɛː r
afton	a f t ɔ n
aggressiv	a ɡ r ɛ s iː v
agneta	a ŋ ² n eː t a
aktie	a k t s ɪ ɛ
aktuell	a k t ɵ ɛ l
akut	a k ʉː t
albin	¹ a l b ɪ n
aldrig	a l d r i ɡ
alkoholist	a l k ʊ h ʊ l ɪ s t
allihop	a l ɪ h uː p
allmän	a l m ɛ n
allvarlig	a l v ɑː r l ɪ ɡ
ambitiös	a m b i ɧ øː s
ana	 ɑː n a
and	a n d
andra	a n d r a
ansikte	a nː s ɪ k t ə
anspråk	 a n s p r oː k
ansvarig	 a n s v ɑː r ɪ ɡ
antisemitism	a n t ɪ s ɛ m ɪ t ɪ s m
arkiv	a r k iː v
arrangemang	a r a n ɧ e m a ŋ
arrangera	a r a n ɧ eː r a
arsenik	a r s ɛ n iː k
arton	 ɑː r t ɔ n
arv	a r v
as	ɑː s
attack	a t a k
avfärda	ɑː v f ɛ r d a
avgå	 ɑː v ɡ oː
avled	 ɑː v l eː d
avseende	ɑː v s eː ɛ n d ɛ
bad	b ɑː d
bak	b ɑː k
bakbord	b aː k b uː r d
band	b a n d
bank	b a ŋː k
barnet	b ɑː r n ɛ t
bas	b ɑː s
bedrägeri	b ɛ d r ɛː ɡ ɛ r iː
behov	b ɛ h uː v
belgien	b ɛ l ɡ ɪ ɛ n
berg	b ɛ r j
berget	b ɛ r j ɛ t
bergs	b ɛ r j s
bert	b æ ʈ
besökare	b ɛ s øː k a r ɛ
betala	b ɛ t ɑː l a
betyda	b ɛ ¹ t yː d a
bilist	b ɪ l ɪ s t
bill	b ɪ l
bjuda	 b j ʉː d a
blad	¹ b l ɑː d
blandning	 b l a n d n i ŋ
blev	b l eː v
bli	b l iː
blomqvist	 b l ʊ m k v ɪ s t
blott	b l ɔ tː
blåljus	b l oː j ʉː s
bo	b uː
boden	b uː d ɛ n
bodil	¹ b uː d ɪ l
bok	b uː k
bokhandel	 b uː k h a n d ɛ l
bord	b uː ɖ
bordtennis	 b uː ɖ t ɛ n ɪ s
bortaplan	 b ɔ r t a p l ɑː n
bostad	 b uː s t ɑː d
bov	b uː v
brand	b r a n d
bris	b r iː s
brista	 b r ɪ sː t a
bro	b r uː
bron	b r uː n
bröd	b r øː d
bröt	b r øː t
bur	b ʉː r
buss	b ɵ s
bär	b ɛː r
båda	b oː d a
bål	b oː l
båt	b oː ə t
böcker	¹ b ø kː ə r
centimeter	s ɛ n t ɪ m eː t ɛ r
charlotta	ɧ a r ² ɭ o t a
charlotte	ɧ a ɭ o t
dag	d ɑː ɡ
damm	d a m
dan	d ɑː n
danmark	¹ d a n m a r k
dansk	d a n s k
danska	 d a n s k a
december	d ɛ s ɛ m b ɛ r
definition	d ɛ f ɪ n ɪ ¹ ɧ uː n
dela	d eː l a
dem	d ɔ m
den	d ɛ nː
denne	d ɛ nː ɛ
