ကကုသန်ဘုရား	k a̰ k ṵ θ à ɴ pʰ ə j á
ကက်ဆက်	k ɛ ʔ sʰ ɛ ʔ
ကက်သလစ်	k ɛ ʔ θ ə l ɪ ʔ
ကကြီး	k a̰ d͡ʑ í
ကချင်	k ə t͡ɕʰ ɪ̀ ɴ
ကစားသမား	ɡ ə s á ð ə m á
ကတည်းက	ɡ ə d ɛ́ ɡ a̰
ကတိ	ɡ ə d ḭ
ကတော့	ɡ ə d ɔ̰
ကထိက	k ə tʰ ḭ k a̰
ကနေဒါ	k a̰ n è d à
ကပ်ရောဂါ	k a ʔ j ɔ́ ɡ à
ကဘီလူး	k a̰ b ə l ú
ကမ်း	k á ɴ
ကမ်းခြေ	k á ɴ d͡ʑ è
ကလပ်	k ə l a ʔ
ကလျာ	k ə l ə j à
ကဝိ	k ə w ḭ
ကာ	k à
ကာကွယ်	k à ɡ w ɛ̀
ကာကွယ်ဆေး	k à ɡ w ɛ̀ z é
ကာကွယ်ရေး	k à ɡ w ɛ̀ j é
ကာဇက်စတန်	k à z ɛ ʔ s ə t à ɴ
ကာလသားရောဂါ	k à l a̰ θ á j ɔ́ ɡ à
ကား	k á
ကားဂိတ်	k á ɡ e ɪ ʔ
ကိစ္စ	k e ɪ ʔ s a̰
ကိန္နရာ	k è ɪ ɴ n ə j à
ကိန်း	k é ɪ ɴ
ကိမိလဗေဒ	k ḭ m ḭ l a̰ b è d a̰
ကိရိယာ	k ə ɹ ḭ j à
ကိုယ်စားလှယ်	k ò j z ə l̥ ɛ̀
ကိုရမ်ကျမ်း	k ò ɹ à ɴ t͡ɕ á ɴ
ကိုရီးယား	k ò ɹ í j á
ကုန်	k ò ʊ ɴ
ကုဗ	k ṵ b a̰
ကုမ္ပဏီ	k ò ʊ ɴ p ə n ì
ကုလသမဂ္ဂ	k ṵ l a̰ θ a̰ m ɛ ʔ ɡ a̰
ကုလားနို့	k ə l ə n o̰
ကူညီ	k ù ɲ ì
ကူးစက်ရောဂါ	k ú z ɛ ʔ j ɔ́ ɡ à
ကူးတို့	ɡ ə d o̰
ကေသ	k è θ a̰
ကောင်စစ်ဝန်ရုံး	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ j ó ʊ ɴ
ကောဏ္ဍည	k ɔ̀ n d ə ɲ a̰
ကော်မတီ	k ɔ̀ m ə t ì
ကျနော်	t͡ɕ ə n ɔ̀
ကျန်	t͡ɕ à ɴ
ကျန်းမာရေး	t͡ɕ á ɴ m à j é
ကျပ်	t͡ɕ a ʔ
ကျမ	t͡ɕ ə m a̰
ကျောက်ဖရုံ	t͡ɕ a ʊ ʔ pʰ ə j ò ʊ ɴ
ကျွန်တော့်	t͡ɕ ʊ̀ ɴ d ɔ̰
ကျွန်တော်	t͡ɕ ʊ̀ ɴ d ɔ̀
ကျွန်တော်တို့	t͡ɕ ʊ̀ ɴ d ɔ̀ d o̰
ကျွန်မ	t͡ɕ ʊ̀ ɴ m a̰
ကြက်ခြေနီ	t͡ɕ ɛ ʔ t͡ɕʰ è n ì
ကြက်တူရွေး	t͡ɕ ɛ ʔ t ù j w é
ကြက်သွန်ဖြူ	t͡ɕ ɛ ʔ θ ʊ̀ ɴ b j ù
ကြာ	t͡ɕ à
ကြာသပတေး	t͡ɕ à θ a̰ p a̰ d é
ကြား	t͡ɕ á
ကြိုး	t͡ɕ ó
ကြီး	t͡ɕ í
ကြောင်ကလေး	t͡ɕ à ʊ ɴ ɡ ə l é
ကြေးဝါ	t͡ɕ é w à
ကြွက်နို့	t͡ɕ w ɛ ʔ n o̰
ကွင်း	k w ɪ́ ɴ
ကွန်ကရစ်	k ʊ̀ ɴ ɡ ə ɹ ɪ ʔ
ကွန်ဂရက်	k ʊ̀ ɴ ɡ ə ɹ ɛ ʔ
ကွန်ဒုံး	k ʊ̀ ɴ d ó ʊ ɴ
ကွမ်းမွှေး	k ʊ́ ɴ m̥ w é
ကွမ်းယာ	k ʊ́ ɴ j à
ကွယ်လွန်	k w ɛ̀ l ʊ̀ ɴ
ကွီး	k w í
ခနုံထုပ်	kʰ ə n ò ʊ ɴ d o ʊ ʔ
ခပ်သိမ်း	kʰ a ʔ θ é ɪ ɴ
ခရစ္စမတ်	kʰ ə ɹ ɪ ʔ s ə m a ʔ
ခရစ်ယာန်	kʰ ə ɹ ɪ ʔ j à n
ခရိုင်	kʰ ə j à ɪ ɴ
ခရီးသည်	kʰ ə j í ð è
ခါ	kʰ à
ခို	kʰ ò
ခိုး	kʰ ó
ခု	kʰ ṵ
ခေါက်	kʰ a ʊ ʔ
ခေါ်	kʰ ɔ̀
ခဲ	kʰ ɛ́
ခံ	kʰ à ɴ
ခံစား	kʰ à ɴ z á
ချက်	t͡ɕʰ ɛ ʔ
ချင်းမိုင်	t͡ɕʰ ɪ́ ɴ m à ɪ ɴ
ချမ်း	t͡ɕʰ á ɴ
ချာတိတ်	t͡ɕʰ à t e ɪ ʔ
ချိုး	t͡ɕʰ ó
ချုပ်	t͡ɕʰ o ʊ ʔ
ချွေး	t͡ɕʰ w é
ချွံချွံ	t͡ɕʰ ʊ̀ ɴ d͡ʑ ʊ̀ ɴ
ခြင်္သေ့ကလေး	t͡ɕʰ ɪ̀ ɴ ð ḛ ɡ ə l é
ခြင်္သေ့မ	t͡ɕʰ ɪ̀ ɴ ð ḛ m a̰
