abair	a bˠ ə ɾʲ
abairt	a bˠ ə ɾˠ tʲ
abú	ə bˠ uː
ad	ə d̪ˠ
adharca	ə i ə ɾˠ k ə
aerfort	eː ɾˠ f ɔ ɾˠ t̪ˠ
agad	a ɡ ə d̪ˠ
aiceann	a c ə n̪ˠ
aicise	ɛ c ɪ ʃ ə
aisce	a ʃ c ɪ
aiste	a ʃ tʲ ə
aistritheoir	a ʃ tʲ ɾʲ ə h oː ɾʲ
aiteann	æ tʲ ə n̪ˠ
aitheantas	a h ə n̪ˠ t̪ˠ ə sˠ
ala	a lˠ ə
alba	a lˠ ə bˠ ə
alban	a l ə bˠ ə nˠ
albanach	a lˠ ə bˠ ə n ə x
allas	a l̪ˠ ə sˠ
alt	a l̪ˠ t̪ˠ
amach	ə mˠ a x
amaideach	ɑ mˠ ə dʲ ə x
amharclann	ə u ɾˠ k lˠ ə n̪ˠ
amú	ə mˠ uː
anocht	ə n̪ˠ ɔ x t̪ˠ
anonn	ə n̪ˠ uː n̪ˠ
anró	aː nˠ ɾˠ ɔː
anuas	ə n̪ˠ u ə sˠ
aníos	ə n̠ʲ iː sˠ
aoibhneas	iː vʲ nʲ ə sˠ
aoine	iː nʲ ə
aois	iː ʃ
aonad	eː nˠ ə d̪ˠ
aontú	iː n̪ˠ t̪ˠ uː
ar	ɛ ɾʲ
arabach	a ɾˠ ə bˠ ə x
araon	ə ɾˠ eː nˠ
arda	ɑː ɾˠ d̪ˠ ə
ardscoil	ɑː ɾˠ d̪ˠ sˠ k ʌ l
aréir	ə ɾʲ eː ɾʲ
ata	a t̪ˠ ə
athróidh	ɑ ɾˠ oː
b'fhearr	bʲ ɑː ɾˠ
b'fhéidir	bʲ eː dʲ ə ɾʲ
baile	bˠ a lʲ ə
bailte	bˠ a l̠ʲ tʲ ə
baineann	bˠ ɪ ɾʲ ə n̪ˠ
balla	bˠ a l̪ˠ ə
bara	bˠ a ɾˠ ə
barraíocht	bˠ ɔ ɾˠ i a x t̪ˠ
beaga	bʲ ɞ ɡ ə
beagán	bʲ ɞ ɡ ɑː nˠ
beart	bʲ a ɾˠ t̪ˠ
beatha	bʲ a h ə
beathach	bʲ aː x
beimid	bʲ ɛ mʲ ə dʲ
beir	bʲ ɛ ɾʲ
beirid	bʲ ɛ ɾʲ ə dʲ
beirt	bʲ ɛ ɾˠ tʲ
beoir	bʲ oː ɾʲ
beorach	bʲ oː ɾˠ ə x
bhean	vʲ æː nˠ
bheatha	vʲ a h ə
bheidís	vʲ ɛ dʲ iː ʃ
bheinn	vʲ ɛ n̠ʲ
bheith	vʲ ɛ
bhfaigheann	w æː n̪ˠ
bhfeice	vʲ ɛ c ɪ
bhrasaíl	vˠ ɾˠ a sˠ iː lʲ
bhris	vʲ ɾʲ ɪ ʃ
bhrí	vʲ ɾʲ iː
bhríd	vʲ ɾʲ iː dʲ
bhí	vʲ iː
bhíos	vʲ iː sˠ
bhíothas	vʲ iː h ə sˠ
bialann	bʲ iˑ ə l̪ˠ ə n̪ˠ
big	bʲ ɪ ɟ
billiún	bʲ i l̠ʲ uː nˠ
binse	bʲ iː nʲ ʃ ə
blasta	bˠ lˠ a sˠ t̪ˠ ə
bleacht	bʲ lʲ a x t̪ˠ
bliain	bʲ lʲ i ə nʲ
blianta	bʲ lʲ i ə n̪ˠ t̪ˠ ə
bocht	bˠ ɔ x t̪ˠ
bodhar	bˠ ə u ɾˠ
boga	bˠ ɔ ɡ ə
bogearraí	bˠ o ɟ ə ɾˠ iː
bosca	bˠ ɔ sˠ k ə
bpéin	bʲ eː nʲ
breathnaigh	bˠ ɾˠ æː n̪ˠ ə
breathnú	bˠ ɾˠ æː n̪ˠ uː
breis	bʲ ɾʲ ɛ ʃ
breith	bʲ ɾʲ ɛ
briste	bʲ ɾʲ ɪ ʃ tʲ ə
broc	bˠ ɾˠ ɔ k
broinn	bˠ ɾˠ iː n̠ʲ
bruscar	bˠ ɾˠ ʊ sˠ k ə ɾˠ
bréag	bʲ ɾʲ eː ɡ
bréan	bʲ ɾʲ eː nˠ
brí	bʲ ɾʲ iː
bríd	bʲ ɾʲ iː dʲ
bríste	bʲ ɾʲ iː ʃ tʲ ə
bród	bˠ ɾˠ oː d̪ˠ
bua	bˠ u ə
buachaill	bˠ u ə x ə lʲ
buaine	bˠ u ə nʲ ə
buan	bˠ u ə nˠ
buartha	bˠ u ə ɾˠ h ə
buile	bˠ ɪ lʲ ə
buille	bˠ ɪ l̠ʲ ə
buntús	bˠ u nˠ tˠ uː sˠ
béile	bʲ eː lʲ ə
béim	bʲ eː mʲ
bí	bʲ iː
cabhair	k oː ɾʲ
cabhrach	k ə u ɾˠ ə x
caidé	k ə dʲ eː
cailc	k a lʲ c
cainte	k a n̠ʲ tʲ ə
cainteoir	k a n̠ʲ tʲ oː ɾʲ
caiple	k a pʲ lʲ ə
caite	k a tʲ ə
campa	k a mˠ pˠ ə
capall	k a pˠ ə l̪ˠ
carachtar	k a ɾˠ ə x t̪ˠ ə ɾˠ
castáil	k a sˠ t̪ˠ ɑː lʲ
cath	k a h
cathal	k a h ə lˠ
cathaoirleach	k a i ɾˠ l̠ʲ ə x
ceachtar	c a x t̪ˠ ə ɾˠ
ceannaire	c a n̪ˠ ə ɾʲ ə
ceannas	c a n̪ˠ ə sˠ
ceantar	c a n̪ˠ t̪ˠ ə ɾˠ
ceap	c a pˠ
ceapaire	c a pˠ ə ɾʲ ə
cearta	c a ɾˠ t̪ˠ ə
ceatha	c a h ə
ceilte	c ɛ lʲ tʲ ə
ceirnín	c ɛ ɾˠ n̠ʲ iː nʲ
cha	x a
chaoi	x iː
chaoil	x iː lʲ
charad	x a ɾˠ ə d̪ˠ
chath	x a h
cheana	h a nˠ ə
cheap	ç a pˠ
cheist	ç ɛ ʃ tʲ
cheithre	ç ɛ ɾʲ ə
chiall	ç i ə l̪ˠ
chian	ç i ə nˠ
chion	ç ɪ nˠ
chomhair	x oː rʲ
chor	x ɔ ɾˠ
chroí	x ɾˠ iː
chugamsa	h ɞ ɡ ə mˠ sˠ ə
chugham	x uː mˠ
chuir	x ɪ ɾʲ
chéad	ç eː d̪ˠ
chéile	ç eː lʲ ə
chéim	ç eː mʲ
chónaithe	x uː n̪ˠ iː
chór	x oː ɾˠ
chúig	x uː ɟ
chúil	x uː lʲ
chúis	x uː ʃ
chúl	x uː lˠ
ciall	c i ə l̪ˠ
cian	c i ə nˠ
ciarraí	c i ə ɾˠ iː
cibé	c ɪ bʲ eː
cic	c ɪ c
cill	c iː lʲ
cille	c ɪ l̠ʲ ə
cine	c ɪ nʲ ə
ciorcal	c i ɾˠ k ə lˠ
ciste	c ɪ ʃ tʲ ə
ciúin	c uː nʲ
ciúine	c uː nʲ ə
clampar	k lˠ a mˠ pˠ ə ɾˠ
cleite	c lʲ ɛ tʲ ə
cliath	c lʲ i ə
cliste	cʲ lʲ ɪ ʃ tʲ ə
cloigeann	k lˠ ɛ ɟ ə n̪ˠ
cloisteáil	k lˠ ɔ ʃ tʲ ɑː lʲ
cláracha	k l̪ˠ ɑ ɾˠ ə x iː
cló	k lˠ oː
clóscríobhaí	k lˠ oː ʃ c ɾʲ iː w iː
cogarnaíl	k ɔ ɡ ə ɾˠ n̪ˠ iː lʲ
coinne	k ɪ n̠ʲ ə
coinneáil	k ɪ n̠ʲ ɑː lʲ
coinnigh	k ɪ n̠ʲ ə
coireanna	k ɛ ɾʲ ə nˠ ə
coiste	k ɔ ʃ tʲ ə
comh	k ɔ
comhair	k oː rʲ
comhar	k õː ɾˠ
compordach	k uː mˠ pˠ oː ɾˠ d̪ˠ ə x
con	k ɔ nˠ
conamara	k ʊ n̪ˠ ə m a ɾˠ ə
contúirt	k uː n̪ˠ t̪ˠ uː ɾˠ tʲ
cora	k ɔ ɾˠ ə
corn	k oː ɾˠ n̪ˠ
cosc	k ɔ sˠ k
cothrom	k ɔ h ɾˠ ə mˠ
creid	c ɾʲ ɛ dʲ
creidim	c ɾʲ ɛ dʲ ə mʲ
creidmheas	c ɾʲ ɛ dʲ vʲ a sˠ
croí	k ɾˠ iː
cruinniú	k ɾˠ ɪ n̠ʲ uː
cruth	k ɾˠ ʊ h
cré	c ɾʲ eː
críochnaithe	c ɾʲ iː x n̪ˠ ɪ h ɪ
críon	c ɾʲ iː nˠ
cuach	k u ə x
cuairt	k u ə ɾˠ tʲ
cuid	k ɪ dʲ
cuir	k ɪ ɾʲ
cuireann	k ɪ ɾʲ ə n̪ˠ
cumann	k ʊ mˠ ə n̪ˠ
cár	k aː ɾˠ
cárbh	k aː ɾˠ vˠ
cé	c eː
céad	c eː d̪ˠ
céadaoin	c eː d̪ˠ iː nʲ
céadta	c eː t̪ˠ ə
céanna	c eː n̪ˠ ə
céard	c eː ɾˠ d̪ˠ
céid	c eː dʲ
céile	c eː lʲ ə
céilí	c eː lʲ iː
céim	c eː mʲ
cérbh	c eː ɾˠ vˠ
cíos	c iː sˠ
císte	c iː ʃ tʲ ə
cónaithe	k uː n̪ˠ iː
cór	k oː ɾˠ
cú	k uː
cúig	k uː ɟ
cúl	k uː lˠ
cúntóir	k uː nˠ t̪ˠ oː ɾʲ
d'iarr	dʲ i ə ɾˠ
d'imigh	dʲ ɪ mʲ ɪ ɟ
dabht	d̪ˠ ə u t̪ˠ
dada	d̪ˠ a d̪ˠ ə
daid	d̪ˠ a dʲ
daidí	d̪ˠ a dʲ iː
dair	d̪ˠ a ɾʲ
dalta	d̪ˠ a lˠ t̪ˠ ə
damh	d̪ˠ a w
daoine	d̪ˠ iː nʲ ə
dealbh	dʲ a lˠ ə vˠ
deara	dʲ a ɾˠ ə
dearbh	dʲ a ɾˠ ə vˠ
deasa	dʲ a sˠ ə
deifir	dʲ ɛ fʲ ə ɾʲ
deis	dʲ ɛ ʃ
deise	dʲ ɛ ʃ ə
deiseanna	dʲ ɛ ʃ ə n̪ˠ ə
deoch	dʲ ɔ x
dhaoine	ɣ iː nʲ ə
dhearna	j ɑː ɾˠ n̪ˠ ə
dhiaidh	j i ə
dhuit	ɣ ɪ tʲ
dhul	ɣ ʊ lˠ
dhéanfainn	j aː n h ə n̠ʲ
dhúil	ɣ uː lʲ
dhún	ɣ uː nˠ
diaidh	dʲ i ə
dian	dʲ i ə nˠ
diarmaid	dʲ i ə ɾˠ mˠ ə dʲ
difríocht	dʲ ɪ fʲ ɾʲ i ə x t̪ˠ
diúltú	dʲ uː l̪ˠ t̪ˠ u
dochreidte	d̪ˠ ɔ ç ɾʲ ɛ tʲ ə
dollar	d̪ˠ ɔ l̪ˠ ə ɾˠ
domh	d̪ˠ ʊ̃ h
domsa	d̪ˠ ɔ mˠ sˠ ə
dorais	d̪ˠ ɔ ɾˠ ə ʃ
doras	d̪ˠ ɔ ɾˠ ə sˠ
dorcha	d̪ˠ ɔ ɾˠ ə x ə
dragan	d̪ˠ ɾˠ a ɡ ə nˠ
draíocht	d̪ˠ ɾˠ i ə x t̪ˠ
droma	d̪ˠ ɾˠ ɔ mˠ ə
dtaisce	d̪ˠ a ʃ c ɪ
dtiocfainn	dʲ ʊ k ə n̠ʲ
dtír	dʲ iː ɾʲ
dua	d̪ˠ u ə
duibhe	d̪ˠ ɪ vʲ ə
duine	d̪ˠ ɪ nʲ ə
duit	d̪ˠ ɪ tʲ
dár	d̪ˠ ɑː ɾˠ
dáréag	d̪ˠ ɑː ɾˠ eː ɡ
déardaoin	dʲ eː ɾˠ d̪ˠ iː nʲ
déistin	dʲ eː ʃ tʲ ə nʲ
dílis	dʲ iː lʲ ə ʃ
díograiseach	dʲ iː ɡ ɾˠ ə ʃ ə x
dís	dʲ iː ʃ
dúchas	d̪ˠ uː x ə sˠ
dúin	d̪ˠ uː nʲ
dúirt	d̪ˠ uː ɾʲ tʲ
dúlra	d̪ˠ uː lˠ ɾˠ ə
dún	d̪ˠ uː nˠ
dúnmharú	d̪ˠ uː n̪ˠ vˠ a ɾˠ uː
dúr	d̪ˠ uː ɾˠ
eabar	a bˠ ə ɾˠ
eachtra	a x t̪ˠ ɾˠ ə
eagar	a ɡ ə ɾˠ
earra	a ɾˠ ə
easpa	æ s p ə
easpaig	a sˠ pˠ ɪ ɟ
eisean	ɛ ʃ ə nˠ
eite	ɛ tʲ ə
eochair	ɔ x ə ɾʲ
eoin	o ɪ n̺
eoraip	oː ɾ ə pʲ
fabht	fˠ ə u t̪ˠ
fachta	fˠ ɑ x t̪ˠ ə
fadhb	fˠ ə i bˠ
fadhbanna	fˠ ə i bˠ ə n̪ˠ ə
faigheann	fˠ aː n̪ˠ
fail	fˠ a lʲ
faire	fˠ a ɾʲ ə
fan	fˠ a nˠ
faoi	fˠ iː
faoin	fˠ iː nʲ
faoina	fˠ iː nˠ ə
faoinár	fˠ iː nˠ ɑː ɾˠ
faoistin	fˠ iː sʲ tʲ i nʲ
farraige	fˠ a ɾˠ ɪ ɟ ɪ
feachtas	fʲ a x t̪ˠ ə sˠ
feadóg	fʲ a d̪ˠ oː ɡ
feiceann	fʲ ɛ c ə n̪ˠ
feidhm	fʲ ə i mʲ
fhaigheann	aː n̪ˠ
fhaightear	a h a ɾˠ
fharraige	a ɾˠ ə ɟ ɪ
fhear	a ɾˠ
fheictear	ɛ c tʲ ə ɾˠ
fheis	ɛ ʃ
fhir	ɪ ɾʲ
fhreastail	ɾʲ a sˠ t̪ˠ ə lʲ
fhéidir	eː dʲ ə ɾʲ
fhéin	h eː nʲ
fial	fʲ i ə lˠ
fine	fʲ ɪ nʲ ə
fios	fʲ ɪ sˠ
fir	fʲ ɪ ɾʲ
fisic	fʲ ɪ ʃ ɪ c
fiú	fʲ uː
fliúit	fʲ lʲ uː tʲ
foireann	fˠ ɪ ɾʲ ə n̪ˠ
fola	fˠ ɔ lˠ ə
foláir	fʲ lʲ ɑː ɾˠ
foréigean	fˠ ɔ ɾˠ eː ɟ ɪ nˠ
freagairt	fʲ rʲ a ɡ ə ɾˠ tʲ
freastail	fʲ ɾʲ a sˠ t̪ˠ ə lʲ
freastal	fʲ ɾʲ a sˠ t̪ˠ ə lˠ
freastalaíonn	fʲ ɾʲ a sˠ t̪ˠ ə lˠ iː n̪ˠ
freastalóidh	fʲ ɾʲ a sˠ t̪ˠ ə lˠ oː j
fuacht	fˠ u ə x t̪ˠ
fuadar	fˠ u ə d̪ˠ ə ɾˠ
fuath	fˠ u ə
fágann	fˠ ɑː ɡ ə n̪ˠ
fé	fʲ eː
féidir	fʲ eː dʲ ə ɾʲ
féile	fʲ eː lʲ ə
fén	fʲ eː n̪ˠ
fíon	fʲ iː nˠ
fón	fˠ oː nˠ
fúm	fˠ uː mˠ
fúmsa	fˠ uː mˠ sˠ ə
fúthu	fˠ uː bˠ
gach	ɡ a x
gaeilge	ɡ eː lʲ ɟ ɪ
gael	ɡ eː lˠ
gaibhte	ɡ ʊ tʲ ə
gaillimh	ɡ a l̠ʲ ɪ vʲ
gaire	ɡ a ɾʲ ə
gairid	ɡ a ɾʲ ə dʲ
gairme	ɡ a ɾʲ ə mʲ ə
gaisce	ɡ a ʃ c ɪ
gcairde	ɡ ɑː ɾˠ dʲ ə
gcaoi	ɡ iː
gcathaoir	ɡ ɑ h iː rʲ
gceanada	ɟ a nˠ ə d̪ˠ ə
gceist	ɟ ɛ ʃ tʲ
gcroí	ɡ ɾˠ iː
gcuireann	ɡ ɪ ɾʲ ə n̪ˠ
gcéad	ɟ eː d̪ˠ
geala	ɟ a lˠ ə
geallúint	ɟ a l̪ˠ u n̠ʲ tʲ
gealt	ɟ a l̪ˠ t̪ˠ
gean	ɟ a nˠ
geit	ɟ ɛ tʲ
gheobhaidh	j oː
gheofar	j oː h a r
ghlacann	ɣ lˠ a k ə n̪ˠ
ghlan	ɣ lˠ a nˠ
ghrian	j ɾʲ i ə nˠ
ghuí	ɣ iː
girseach	ɟ ɪ ɾˠ ʃ a h
glacann	ɡ lˠ a k ə n̪ˠ
glan	ɡ lˠ a nˠ
glas	ɡ lˠ a sˠ
gleann	ɟ lʲ aː nˠ
gleoite	ɟ lʲ oː tʲ ə
glic	ɟ lʲ ɪ c
gliceas	ɟ lʲ ɪ c ə s
gloine	ɡ lˠ ɪ nʲ ə
gluais	ɡ lˠ u ə ʃ
gnóthachtáil	ɡ ɾˠ uː x t̪ˠ ɑː lʲ
goilliúint	ɡ ɪ l̠ʲ uː n̠ʲ tʲ
gorm	ɡ ɔ ɾˠ ə mˠ
gréine	ɟ ɾʲ eː nʲ ə
grúpa	ɡ ɾˠ uː pˠ ə
guth	ɡ ʊ h
géar	ɟ eː ɾˠ
hail	h a lʲ
hair	h a ɾʲ
halbain	h a l ə bˠ ə nʲ
halban	h a l ə bˠ ə nˠ
halla	h a l̪ˠ ə
hallaí	h a l̪ˠ iː
hanam	h a nˠ ə mˠ
harm	h a ɾˠ ə mˠ
huile	h ɪ lʲ ə
iad	i ə d̪ˠ
iarr	i ə ɾˠ
iarthar	i ə ɾˠ h ə ɾˠ
iascaire	i ə sˠ k ə ɾʲ ə
iascaireacht	i ə sˠ k ə ɾʲ ə x t̪ˠ
imir	ɪ mʲ ə ɾʲ
imirt	ɪ mʲ ə ɾˠ tʲ
imithe	ɪ mʲ ɪ h ɪ
ina	ɪ nˠ ə
inar	ɪ nˠ ə ɾˠ
inghlactha	ɪ nʲ ɣ lˠ a k h ə
inis	ɪ nʲ ɪ ʃ
inné	ə n̠ʲ eː
ins	ɪ nˠ sˠ
intinn	iː n̠ʲ tʲ ə n̠ʲ
iompair	ʊ mˠ pˠ ə ɾʲ
iompú	ʊ mˠ pˠ uː
iománaíocht	ə mˠ ɑː n̪ˠ i ə x t̪ˠ
iontu	uː n̪ˠ t̪ˠ ə
iris	ɪ ɾ ɪ ʃ
it	ɪ t̪ˠ
itheann	ɪ h ə n̪ˠ
iúr	uː ɾˠ
lae	l̪ˠ eː
laidin	l̪ˠ a dʲ ɪ nʲ
le	lʲ ɛ
leacht	l̠ʲ a x t̪ˠ
leag	l̠ʲ a ɡ
leanúint	l̠ʲ a nˠ u n̠ʲ tʲ
leathar	l̠ʲ a h ə ɾˠ
leathchéad	l̠ʲ æ ç eː d̪ˠ
leatsa	lʲ a t̪ˠ sˠ ə
leithscéal	l̠ʲ ɛ ʃ c eː lˠ
lenar	lʲ ɛ nˠ ə ɾˠ
lenár	lʲ ɛ nˠ ɑː ɾˠ
liath	l̠ʲ i ə
lig	l̠ʲ ɪ ɟ
ligean	l̠ ɪ ɟ ə nˠ
ligeann	l̠ʲ ɪ ɟ ə n̪ˠ
ligthe	l̠ʲ ɪ c ɪ
liopard	lʲ i pˠ ə ɾˠ dˠ
liosta	l̠ʲ ɪ sˠ t̪ˠ ə
litir	l̠ʲ ɪ tʲ ə ɾʲ
loch	l̪ˠ ɔ x
loingeas	l̪ˠ ɪ ɲ ɟ ə sˠ
lorg	l̪ˠ ɔ ɾˠ ə ɡ
luan	l̪ˠ u ə nˠ
luas	l̪ˠ u ə sˠ
luath	l̪ˠ u ə
láidir	l̪ˠ ɑː dʲ ə ɾʲ
láidre	l̪ˠ ɑː dʲ ɾʲ ə
láimh	l̪ˠ ɑː vʲ
léarscáil	lʲ eː ɾˠ sˠ k aː lʲ
léas	l̠ʲ eː sˠ
léim	l̠ʲ eː mʲ
léir	l̠ʲ eː ɾʲ
líonra	lʲ iː n̪ˠ ɾˠ ə
lítear	l̠ʲ iː tʲ ə ɾˠ
lú	l̪ˠ uː
lúthchleas	l̪ˠ uː ç lʲ a sˠ
maide	mˠ a dʲ ə
maireachtáil	mˠ a ɾʲ ə x t̪ˠ ɑː lʲ
maise	mˠ a ʃ ə
maithe	mˠ a h ə
marc	mˠ a ɾˠ k
mbata	mˠ a t̪ˠ ə
meaisín	mʲ ə ʃ iː nʲ
meall	mʲ ɑː l̪ˠ
measc	mʲ a sˠ k
meisce	mʲ ɛ ʃ c ɪ
meon	mʲ uː n̪ˠ
meáchan	mʲ aː x ə nˠ
meánscoil	mʲ ɑː nˠ sˠ k ɛ lʲ
mhacha	w a x ə
mhiste	vʲ ɪ ʃ tʲ ə
mhéad	vʲ eː d̪ˠ
mhéid	vʲ eː dʲ
mhí	vʲ iː
milliún	mʲ i l̠ʲ uː nˠ
miste	mʲ ɪ ʃ tʲ ə
monarc	mˠ ɔ nˠ ə ɾˠ k
mothaíonn	m uː iː n̪ˠ
muid	mˠ ɪ dʲ
muide	mˠ ɪ dʲ ə
muire	mˠ ɪ ɾʲ ə
muiris	mˠ ɪ ɾʲ ə ʃ
muna	mˠ ʊ nˠ ə
mur	mˠ ə ɾˠ
mura	mˠ ʊ ɾˠ ə
murach	mˠ ʊ ɾˠ ə x
murar	mˠ ʊ ɾˠ ə ɾˠ
máirt	mˠ aː ɾˠ tʲ
máistir	mˠ ɑː ʃ tʲ ə ɾʲ
méadar	mʲ eː d̪ˠ ə ɾˠ
méar	mʲ eː ɾˠ
méid	mʲ eː dʲ
méir	mʲ eː ɾʲ
mí	mʲ iː
míle	mʲ iː lʲ ə
míosa	mʲ iː sˠ ə
mír	mʲ iː ɾʲ
míreanna	mʲ iː ɾʲ ə n̪ˠ ə
mórtas	mˠ oː ɾˠ t̪ˠ ə sˠ
múinte	mˠ uː n̠ʲ tʲ ə
na	nˠ ə
nach	n̪ˠ a x
naíon	n̪ˠ iː nˠ
ndearna	n̠ʲ ɑː ɾˠ n̪ˠ ə
ndiaidh	n̠ʲ i ə
neach	n̠ʲ a x
nead	nʲ a d̪ˠ
ngall	ŋ ɑː l̪ˠ
nia	n̠ʲ i ə
nic	nʲ ɪ c
nocht	n̪ˠ ɔ x t̪ˠ
nuachtán	nˠ uˑ ə x t̪ˠ aː nˠ
nádúr	n̪ˠ aː d̪ˠ uː ɾˠ
ní	n̠ʲ iː
níl	n̠ʲ iː lʲ
níos	n̠ʲ iː sˠ
nóiméad	n̪ˠ uː mʲ eː d̪ˠ
ochtar	ɔ x t̪ˠ ə ɾˠ
oibleagáid	ə i bˠ l ə ɡ ə dʲ
oibrí	ə i bʲ ɾʲ iː
oide	ɛ dʲ ə
oideachais	ɛ dʲ ə x ə ʃ
oideachas	ɛ dʲ ə x ə sˠ
oiliúint	ɛ lʲ u nʲ
oirthear	e ɾʲ h ə ɾˠ
orainne	ɔ ɾˠ ə n̠ʲ ə
orlach	ə u ɾˠ l̪ˠ ə x
