آئورت	ɒː ʔ o ɾ t
آبان	ɒː b ɒː n
آبلیمو	ɒː b l iː m uː
آخ	ɒː χ
آخر	ɒː x æ ɾ
آدرس	ɒː d ɾ e s
آدم‌ها	ɒː d æ m h ɒː
آرامی	ɒː ɾ ɒː m iː
آزردن	ɒː z o ɾ d æ n
آسیا	ɒː s ɪ j ɒː
آسیاب	ɒː s i j ɒː b
آش	ʔ ɒː ʃ
آشتی	ɒː ʃ t iː
آشوب‌ها	ɒː ʃ uː b h ɒː
آمیزش	ɒː m iː z e ʃ
آکندن	ʔ ɒː k æ n d æ n
ابرش	æ b ɾ æ ʃ
ابری	ʔ æ b ɾ iː
ابری‌سازی	ʔ æ b ɾ iː s ɒː z iː
اتمام	e t m ɒː m
ادیان	æ d j ɒː n
اراده	e ɾ ɒː d e
استراتژی	ɛ s t ɾ ɒː t ɛ ʒ iː
استیون	e s t iː v e n
اسفناج	e s f e n ɒː d͡ʒ
اسفند	e s f æ n d̪
اشتر	ʔ o ʃ t o ɾ
اشرج	æ ʃ r æ d ʒ
اصلی	æ s l iː
افشردن	æ f ʃ o ɾ d æ n
افیون	ʔ æ f j uː n
الماس‌ها	æ l m ɒː s h ɒː
المزده	æ l æ m z æ d e
الموت	ʔ æ l æ m uː t
امضاء	e m z ɒː
امیدیار	ʔ o m iː d y ɒː ɾ
امین	æ m iː n
امین‌ها	æ m iː n h ɒː
انبار	ʔ æ m b ɒː ɾ
انجمن	ʔ æ n d͡ʒ o m æ n
اندی	æ n d eː
انرژی	æ n æ ɾ ʒ iː
انعکاس	e n ʔ e k ɒː s
انگلیس	ʔ e ŋ ɡʲ e l iː s
انگیختن	æ ŋ ɡ iː x t æ n
اهریمن	ʔ æ h ɾ iː m æ n
اهواز	æ h w ɒː z
اورشلیم	ʔ o ɾ ʃ æ l iː m
اولی	æ v v æ l iː
اوکی	o kʰ e j
اگرچه	æ ɡ æ ɾ t ʃ e
ایام	ʔ æ j j ɒː m
ایرانیان	iː ɾ ɒː n i j ɒː n
با	b ɒː
بابک	b ɒː b æ k
باجی	b ɒː d ʒ iː
باحال‌تر	b ɒː h ɒː l t æ ɾ
باروت	b ɒː ɾ uː t
بارود	b ɒː ɾ uː d
باریک	b ɒː ɾ iː k
باریک‌تر	b ɒː ɾ iː k t æ ɾ
باریک‌ترین	b ɒː ɾ iː k t æ ɾ iː n
بازیچه	b ɒː z iː t ʃʰ e
باغات	b ɒː ɣ ɒː t̪
باغ‌ها	b ɒː ɣ h ɒː
بال	b ɒː l
بالاخره	b e l æ x æ ɾ e
بالغ	b ɒː l e ɣ
بامزه	b ɒː m æ z e
بایست	b ɒː j e s t
بایستی	b ɒː j æ s t iː
بختر	b e x t æ ɾ
بد	b æ d
بدرود	b e d ɾ uː d
بر	b æ ɾ
برخی	b æ r x iː
برزیستن	b a r z iː s t æ n
برنامه	b æ ɾ n ɒː m æ
برنز	b o ɾ o n z
برگ	b æ ɾ ɡ
بریدن	b o ɾ iː d æ n
بزاق	b o z ɒː ɣ
بسنده	b æ s æ n d e
بفرمایید	b e f æ ɾ m ɒː j iː d
بلاگ	b l ɒː ɡ
بلعیدن	b æ l ʔ iː d æ n
بلور	b ɪ l oː ɾ
بلگ	b æ l ɡ
بم	b ə m
بنگ	b æ ŋ ɡ
بهبود	b e h b uː d
بوران	b uː ɾ ɒ n
بون	b uː n
بژ	b e ʒ
بیمارترین	b iː m ɒː ɾ t æ ɾ iː n
بەت	b æː t
تاریک‌تر	t ɒː ɾ iː k t æ ɾ
تاریک‌ترین	t ɒː ɾ iː k t æ ɾ iː n
تازه‌ترین	t ɒː z e t æ ɾ iː n
ترسایی	t æ ɾ s ɒː j iː
