آئورت	ɒː ʔ o ɾ t
آبان	ɒː b ɒː n
آبلیمو	ɒː b l iː m uː
آخ	ɒː χ
آخر	ɒː x æ ɾ
آدرس	ɒː d ɾ e s
آدم‌ها	ɒː d æ m h ɒː
آرامی	ɒː ɾ ɒː m iː
آزردن	ɒː z o ɾ d æ n
آسیا	ɒː s ɪ j ɒː
آسیاب	ɒː s i j ɒː b
آش	ʔ ɒː ʃ
آشتی	ɒː ʃ t iː
آشوب‌ها	ɒː ʃ uː b h ɒː
آمیزش	ɒː m iː z e ʃ
آکندن	ʔ ɒː k æ n d æ n
ابرش	æ b ɾ æ ʃ
ابری	ʔ æ b ɾ iː
ابری‌سازی	ʔ æ b ɾ iː s ɒː z iː
اتمام	e t m ɒː m
ادیان	æ d j ɒː n
اراده	e ɾ ɒː d e
استراتژی	ɛ s t ɾ ɒː t ɛ ʒ iː
استیون	e s t iː v e n
اسفناج	e s f e n ɒː d͡ʒ
اسفند	e s f æ n d̪
اشتر	ʔ o ʃ t o ɾ
اشرج	æ ʃ r æ d ʒ
اصلی	æ s l iː
افشردن	æ f ʃ o ɾ d æ n
افیون	ʔ æ f j uː n
الماس‌ها	æ l m ɒː s h ɒː
المزده	æ l æ m z æ d e
الموت	ʔ æ l æ m uː t
امضاء	e m z ɒː
امیدیار	ʔ o m iː d y ɒː ɾ
امین	æ m iː n
امین‌ها	æ m iː n h ɒː
انبار	ʔ æ m b ɒː ɾ
انجمن	ʔ æ n d͡ʒ o m æ n
اندی	æ n d eː
انرژی	æ n æ ɾ ʒ iː
انعکاس	e n ʔ e k ɒː s
انگلیس	ʔ e ŋ ɡʲ e l iː s
انگیختن	æ ŋ ɡ iː x t æ n
اهریمن	ʔ æ h ɾ iː m æ n
اهواز	æ h w ɒː z
اورشلیم	ʔ o ɾ ʃ æ l iː m
اولی	æ v v æ l iː
اوکی	o kʰ e j
اگرچه	æ ɡ æ ɾ t ʃ e
ایام	ʔ æ j j ɒː m
ایرانیان	iː ɾ ɒː n i j ɒː n
با	b ɒː
بابک	b ɒː b æ k
باجی	b ɒː d ʒ iː
باحال‌تر	b ɒː h ɒː l t æ ɾ
باروت	b ɒː ɾ uː t
بارود	b ɒː ɾ uː d
باریک	b ɒː ɾ iː k
باریک‌تر	b ɒː ɾ iː k t æ ɾ
باریک‌ترین	b ɒː ɾ iː k t æ ɾ iː n
بازیچه	b ɒː z iː t ʃʰ e
باغات	b ɒː ɣ ɒː t̪
باغ‌ها	b ɒː ɣ h ɒː
بال	b ɒː l
بالاخره	b e l æ x æ ɾ e
بالغ	b ɒː l e ɣ
بامزه	b ɒː m æ z e
بایست	b ɒː j e s t
بایستی	b ɒː j æ s t iː
بختر	b e x t æ ɾ
بد	b æ d
بدرود	b e d ɾ uː d
بر	b æ ɾ
برخی	b æ r x iː
برزیستن	b a r z iː s t æ n
برنامه	b æ ɾ n ɒː m æ
برنز	b o ɾ o n z
برگ	b æ ɾ ɡ
بریدن	b o ɾ iː d æ n
بزاق	b o z ɒː ɣ
بسنده	b æ s æ n d e
بفرمایید	b e f æ ɾ m ɒː j iː d
بلاگ	b l ɒː ɡ
بلعیدن	b æ l ʔ iː d æ n
بلور	b ɪ l oː ɾ
بلگ	b æ l ɡ
بم	b ə m
بنگ	b æ ŋ ɡ
بهبود	b e h b uː d
بوران	b uː ɾ ɒ n
بون	b uː n
بژ	b e ʒ
بیمارترین	b iː m ɒː ɾ t æ ɾ iː n
بەت	b æː t
تاریک‌تر	t ɒː ɾ iː k t æ ɾ
تاریک‌ترین	t ɒː ɾ iː k t æ ɾ iː n
تازه‌ترین	t ɒː z e t æ ɾ iː n
ترسایی	t æ ɾ s ɒː j iː
ترکیدن	t æ ɾ æ kʲ iː d æ n
تعلیم	t æ ʔ l i m
تغییرات	t æ ɣ j iː ɾ ɒː t
تقریبا	t æ ɣ ɾ iː b æ n
تقصیر	t æ ɣ s iː ɾ
تلویحی	t æ l v iː h iː
تمبر	t æ m b ɾ
تمیزترین	t æ m iː z t æ ɾ iː n
تنبان	t o m b ɒ n
تندیس	t æ n d iː s
تنیدن	t æ n iː d æ n
تنیسور	t e n iː s o ɾ
تهرون	t e h ɾ uː n
توزیع	tʰ o ʊ̯ z iː ʔ
توسی	t uː s iː
تکفور	t æ k f uː ɾ
ثابت	s ɒː b e tʰ
جام	d͡ʒ ɒː m
جعفر	d͡ʒ æ ʔ f æ r
جعفری	d͡ʒ æ ʔ f æ ɾ iː
جواب‌ها	d ʒ æ v ɒː b h ɒː
جگر	d ʒ e ɡ æ ɾ
حاد	h ɒː d
حافظ	h ɒː f e z
حق	h a q q
حقوق	h o q u q
خاص	x ɒː s
خاص‌ترین	x ɒː s tʰ æ ɾ iː n
خاویار	x ɒː v i j ɒː ɾ
ختنه	x æ tʰ n e
خرداد	x o ɾ d̪ ɒː d̪
خرم	x o ɾː æ m
خزاعی	x æ z ɒː ʔ iː
خزنده	x æ z æ n d e
خزندگان	x æ z æ n d e ɡ ɒː n
خشکوندن	x o ʃ k uː n d æ n
خندان	x æ n d ɒ n
خندون	x æ n d uː n
خو	x o
خواستار	x ɒː s t̪ ɒː ɾ
خوانندگان	x ɒː n æ n d e ɡ ɒː n
خوشنویسی	x o ʃ n e v iː s iː
خوشگل‌ترین	x o ʃ ɡ e l t æ ɾ iː n
خونه	x oː n æ
خیس	x iː s
خیم	x iː m
داد	d ɒː d
دادار	d ɒː d ɒː r
دارو	d ɒː ɾ uː
داغ	d ɒː ɣ
درخت	d æ ɾ æ x t
درزی	d æ ɾ z iː
درها	d æ ɾ h ɒː
درودن	d o ɾ uː d æ n
دروغ‌ها	d o ɾ uː ɣ h ɒː
درگاه	d æ ɾ ɡ ɒː h
دفتر	d æ f t æ r
دلسوز	d̪ i l s oː z
دنیدن	d æ n iː d æ n
دودل	d o d e l
دپارتمان	d e p ɒ r tʰ e m ɒ n
دیسک	d iː s k
دیسک‌ها	d iː s k h ɒː
ذاتی	z ɒː t iː
رحیم	r æ h iː m
رخ	r o x
رختن	r e x t æ n
رستوران	r e s t o ɾ ɒː n
رستوران‌ها	r e s t o ɾ ɒː n h ɒː
روادید	r æ v ɒː d̪ iː d̪
روحانی	r o ʊ h ɒː n iː
زال	z ɒː l
زبان‌ها	z æ b ɒː n h ɒː
زرشک	z e ɾ e ʃ k
زرشکی	z e ɾ e ʃ k iː
زرناپا	z u r n ɒː p ɒː
زیباتر	z iː b ɒː t æ ɾ
