abala	ʔ a b a l a
abalahin	ʔ a b a l a h i n
abalos	ʔ a b a l o s
abangan	ʔ a b a ŋ a n
abiso	ʔ a b i s o
abo	ʔ a b o
abutin	ʔ a b u t i n
adhikain	ʔ a d h i k a ʔ i n
adik	ʔ a d i k
agad	ʔ a ɡ a d
agresibo	ʔ a ɡ ɾ e s i b o
aguilar	ʔ a ɡ i l a ɾ
aksidente	ʔ a k s i d e n t e
aktibidad	ʔ a k t i b i d a d
aktibista	ʔ a k t i b i s t a
aktres	ʔ a k t ɾ e s
alaala	ʔ a l a ʔ a l a
alak	ʔ a l a k
alala	ʔ a l a l a
alalay	ʔ a l a l a i
alam	ʔ a l a m
alamin	ʔ a l a m i n
alberto	ʔ a l b e ɾ t o
alikabok	ʔ a l i k a b o k
alindog	ʔ a l i n d o ɡ
aling	ʔ a l i ŋ
alinsunod	ʔ a l i n s u n o d
alitan	ʔ a l i t a n
aliw	ʔ a l i u
also	ʔ a l s o
alvarez	ʔ a l b a ɾ e s
amen	ʔ a m e n
amerika	ʔ a m e ɾ i k a
amerikano	ʔ a m e ɾ i k a n o
amin	ʔ a m i n
aminado	ʔ a m i n a d o
among	ʔ a m o ŋ
amoy	ʔ a m o i
anak	ʔ a n a k
ang	a ŋ
angkop	ʔ a ŋ k o p
ani	ʔ a n i
anibersaryo	ʔ a n i b e ɾ s a ɾ j o
anim	ʔ a n i m
aniya	ʔ a n i a
ano	ʔ a n o
antipolo	ʔ a n t i p o l o
apat	ʔ a p a t
apektado	ʔ a p e k t a d o
apelyido	ʔ a p e l j i d o
apostol	ʔ a p o s t o l
apoy	ʔ a p o i
aquino	ʔ a k i n o
aral	ʔ a ɾ a l
araw	ʔ a ɾ a u
arevalo	ʔ a ɾ e b a l o
artista	ʔ a ɾ t i s t a
asawa	ʔ a s a w a
aso	ʔ a s o
aswang	ʔ a s w a ŋ
asya	ʔ a s j a
at	ʔ a t
atin	ʔ a t i n
atleta	ʔ a t l e t a
aw	ʔ a u
awa	ʔ a w a ʔ
awat	ʔ a w a t
ay	ʔ a i
ayaw	ʔ a j a u
ayos	ʔ a j o s
babae	b a b a ʔ e
babasagin	b a b a s a ɡ i n
babasahin	b a b a s a h i n
bading	b a d i ŋ
bagahe	b a ɡ a h e
bagay	b a ɡ a i
bagets	b a ɡ e t s
bagsak	b a ɡ s a k
bagyo	b a ɡ j o
bahagi	b a h a ɡ i ʔ
bahala	b a h a l a ʔ
bakal	b a k a l
bakas	b a k a s
bakat	b a k a t
balabag	b a l a b a ɡ
balahibo	b a l a h i b o
balak	b a l a k
balakid	b a l a k i d
balang	b a l a ŋ
balanga	b a l a ŋ a ʔ
balat	b a l a t
bale	b a l e
balik	b a l i k
balikat	b a l i k a t
baliw	b a l i u
balwarte	b a l w a ɾ t e
banda	b a n d a
bangin	b a ŋ i n
bangkay	b a ŋ k a i
bangketa	b a ŋ k e t a
