аби	ɐ b ɪ
абсолютно	ɐ b s o lʲ u t n ɔ
абсорбент	ɐ b s ɔ r b ɛ n t
аварія	ɐ ʋ ɑ rʲ i j ɐ
автентичність	ɐ u̯ t e n t ɪ t͡ʃ nʲ i sʲ tʲ
авто	ɐ u̯ t ɔ
авіалайнер	ɐ ʋʲ i ɐ ɫ ɑ i̯ n e r
аграрний	ɐ ɦ r ɑ r n e i̯
амстердам	ɐ m s t e r d ɑ m
аналізувати	ɐ n ɐ lʲ i z ʊ ʋ ɑ t e
андрій	ɐ n dʲ rʲ i i̯
анна	ɑ nː ɐ
арешт	ɐ r ɛ ʃ t
ароматний	ɐ r ɔ m ɑ t n e i̯
астероїд	ɐ s t e r ɔ j i d
ательє	ɐ t e lʲ j ɛ
багато	b ɐ ɦ ɑ t ɔ
батько	b ɑ tʲ k ɔ
бачити	b ɑ t͡ʃ e t e
безліч	b ɛ zʲ lʲ i t͡ʃ
битва	b ɪ t ʋ ɐ
битви	b ɪ t ʋ e
близько	b ɫ ɪ zʲ k ɔ
бо	b ɔ
богдан	b ɔ ɦ d ɑ n
богдана	b ɔ ɦ d ɑ n ɐ
боже	b ɔ ʒ e
бойко	b ɔ i̯ k ɔ
бонуси	b ɔ n ʊ s e
боротися	b ɔ r ɔ t e sʲ ɐ
борошно	b ɔ r ɔ ʃ n ɔ
британія	b r e t ɑ nʲ i j ɐ
був	b u u̯
будучи	b u d ʊ t͡ʃ e
була	b ʊ ɫ ɑ
були	b ʊ ɫ ɪ
бути	b u t e
біг	bʲ i ɦ
бік	bʲ i k
білодід	bʲ i ɫ o dʲ i d
білорусь	bʲ i ɫ o r u sʲ
більш	bʲ i lʲ ʃ
більше	bʲ i lʲ ʃ e
більшість	bʲ i lʲ ʃʲ i sʲ tʲ
біля	bʲ i lʲ ɐ
вам	ʋ ɑ m
вами	ʋ ɑ m e
вас	ʋ ɑ s
ваше	ʋ ɑ ʃ e
вбивати	w b e ʋ ɑ t e
вбивство	w b ɪ u̯ s t w ɔ
ввести	ʋː e s t ɪ
ввечері	ʋː ɛ t͡ʃ e rʲ i
ведучий	ʋ e d u t͡ʃ e i̯
весна	ʋ e s n ɑ
вестися	ʋ e s t ɪ sʲ ɐ
весь	ʋ ɛ sʲ
вечір	ʋ ɛ t͡ʃʲ i r
вже	w ʒ ɛ
вжити	w ʒ ɪ t e
ви	ʋ ɪ
виборах	ʋ ɪ b ɔ r ɐ x
вибору	ʋ ɪ b ɔ r ʊ
вибух	ʋ ɪ b ʊ x
вибір	ʋ ɪ bʲ i r
видіння	ʋ e dʲ i nʲː ɐ
виживання	ʋ e ʒ e ʋ ɑ nʲː ɐ
визнання	ʋ e z n ɑ nʲː ɐ
вийти	ʋ ɪ i̯ t e
виклик	ʋ ɪ k ɫ e k
виконання	ʋ e k ɔ n ɑ nʲː ɐ
виконати	ʋ ɪ k ɔ n ɐ t e
використовувати	ʋ e k ɔ r e s t ɔ w ʊ ʋ ɐ t e
вимога	ʋ e m ɔ ɦ ɐ
виникнути	ʋ ɪ n e k n ʊ t e
виняток	ʋ ɪ nʲ ɐ t ɔ k
випадків	ʋ ɪ p ɐ dʲ kʲ i u̯
виразно	ʋ e r ɑ z n ɔ
висота	ʋ e s ɔ t ɑ
виступати	ʋ e s t ʊ p ɑ t e
вихідних	ʋ e xʲ i d n ɪ x
вихідні	ʋ e xʲ i dʲ nʲ i
влада	w ɫ ɑ d ɐ
власність	w ɫ ɑ sʲ nʲ i sʲ tʲ
вночі	w n o t͡ʃʲ i
вогню	w o ɦ nʲ u
вогонь	w ɔ ɦ ɔ nʲ
водій	w o dʲ i i̯
володимир	w ɔ ɫ ɔ d ɪ m e r
волосся	w ɔ ɫ ɔ sʲː ɐ
воля	w ɔ lʲ ɐ
вони	w ɔ n ɪ
воно	w ɔ n ɔ
ворог	w ɔ r ɔ ɦ
ворота	w ɔ r ɔ t ɐ
воювати	w ɔ j ʊ ʋ ɑ t e
воєначальник	w ɔ j e n ɐ t͡ʃ ɑ lʲ n e k
впевнений	ʍ p ɛ u̯ n e n e i̯
вперше	ʍ p ɛ r ʃ e
враження	w r ɑ ʒ e nʲː ɐ
