กด	k o t̚ ˨˩
กนก	k a ˨˩ n o k̚ ˨˩
กร	k ɔː n ˧
กรอก	k r ɔː k̚ ˨˩
กระ	k r a ʔ ˨˩
กระทรวงศึกษาธิการ	k r a ˨˩ s u a̯ ŋ ˧ s ɯ k̚ ˨˩ s aː ˩˩˦ tʰ i ˦˥ k aː n ˧
กระบี่	k r a ˨˩ b iː ˨˩
กรีด	k r iː t̚ ˨˩
กฤษฎา	k r i t̚ ˨˩ s a ˨˩ d aː ˧
กลุ่ม	k l u m ˨˩
กล้า	k l aː ˥˩
กวาง	k w aː ŋ ˧
กว่า	k w aː ˨˩
กอง	k ɔː ŋ ˧
กองทัพบก	k ɔː ŋ ˧ tʰ a p̚ ˦˥ b o k̚ ˨˩
กะปิ	k a ˨˩ p i ʔ ˨˩
กันยายน	k a n ˧ j aː ˧ j o n ˧
กันย์	k a n ˧
กับ	k a p̚ ˨˩
กัมพูชา	k a m ˧ pʰ uː ˧ t͡ɕʰ aː ˧
การ	k aː n ˧
การกอด	k aː n ˧ k ɔː t̚ ˨˩
การกำหนด	k aː n ˧ k a m ˧ n o t̚ ˨˩
การก่อการร้าย	k aː n ˧ k ɔː ˨˩ k aː n ˧ r aː j ˦˥
การจัดการ	k aː n ˧ t͡ɕ a t̚ ˨˩ k aː n ˧
การท้าทาย	k aː n ˧ tʰ aː ˦˥ tʰ aː j ˧
การบวก	k aː n ˧ b u a̯ k̚ ˨˩
การรัก	k aː n ˧ r a k̚ ˦˥
การรุก	k aː n ˧ r u k̚ ˦˥
การล่วงล้ำ	k aː n ˧ l u a̯ ŋ ˥˩ l a m ˦˥
การออก	k aː n ˧ ʔ ɔː k̚ ˨˩
การเมือง	k aː n ˧ m ɯ a̯ ŋ ˧
การเลือกตั้ง	k aː n ˧ l ɯ a̯ k̚ ˥˩ t a ŋ ˥˩
การเลือกตั้งทั่วไป	k aː n ˧ l ɯ a̯ k̚ ˥˩ t a ŋ ˥˩ tʰ u a̯ ˥˩ p a j ˧
การเล่น	k aː n ˧ l e n ˥˩
กำหนด	k a m ˧ n o t̚ ˨˩
กำไร	k a m ˧ r a j ˧
กิเลน	k i ˨˩ l eː n ˧
กิโล	k i ˨˩ l oː ˧
กิโลกรัม	k i ˨˩ l oː ˧ k r a m ˧
กุญชร	k u n ˧ t͡ɕʰ ɔː n ˧
กุญแจ	k u n ˧ t͡ɕ ɛː ˧
กุฎุมพี	k u ˨˩ d u m ˧ pʰ iː ˧
กุนซือ	k u n ˧ s ɯː ˧
กุมภาพันธ์	k u m ˧ pʰ aː ˧ pʰ a n ˧
ก็ได้	k ɔː ˥˩ d aː j ˥˩
ก่อการร้าย	k ɔː ˨˩ k aː n ˧ r aː j ˦˥
ก้อง	k ɔ ŋ ˥˩
ก้อย	k ɔ j ˥˩
ก๋วยเตี๋ยว	k u a̯ j ˩˩˦ t i a̯ w ˩˩˦
ขนม	kʰ a ˨˩ n o m ˩˩˦
ขนาด	kʰ a ˨˩ n aː t̚ ˨˩
ขยะ	kʰ a ˨˩ j a ʔ ˨˩
ขวัญ	kʰ w a n ˩˩˦
ขอบคุณ	kʰ ɔː p̚ ˨˩ kʰ u n ˧
ขาด	kʰ aː t̚ ˨˩
ขาย	kʰ aː j ˩˩˦
ขึ้น	kʰ ɯ n ˥˩
ข่าว	kʰ aː w ˨˩
ข่าวสาร	kʰ aː w ˨˩ s aː n ˩˩˦
ข้อ	kʰ ɔː ˥˩
ข้อมูล	kʰ ɔː ˥˩ m uː n ˧
ข้างหลัง	kʰ aː ŋ ˥˩ l a ŋ ˩˩˦
ข้าพเจ้า	kʰ aː ˥˩ pʰ a ˦˥ t͡ɕ aː w ˥˩
คดี	kʰ a ˦˥ d iː ˧
คน	kʰ o n ˧
คนงาน	kʰ o n ˧ ŋ aː n ˧
คบ	kʰ o p̚ ˦˥
ครอบครัว	kʰ r ɔː p̚ ˥˩ kʰ r u a̯ ˧
ครัวเรือน	kʰ r u a̯ ˧ r ɯ a̯ n ˧
ครั้ง	kʰ r a ŋ ˦˥
ครั้งนั้น	kʰ r a ŋ ˦˥ n a n ˦˥
ครีม	kʰ r iː m ˧
ครู	kʰ r uː ˧
คลัง	kʰ l a ŋ ˧
ควบคุม	kʰ u a̯ p̚ ˥˩ kʰ u m ˧
ความงาม	kʰ w aː m ˧ ŋ aː m ˧
ความชอบธรรม	kʰ w aː m ˧ t͡ɕʰ ɔː p̚ ˥˩ tʰ a m ˧
ความตาย	kʰ w aː m ˧ t aː j ˧
ความรัก	kʰ w aː m ˧ r a k̚ ˦˥
ความรุนแรง	kʰ w aː m ˧ r u n ˧ r ɛː ŋ ˧
ความสามารถ	kʰ w aː m ˧ s aː ˩˩˦ m aː t̚ ˥˩
ความสุข	kʰ w aː m ˧ s u k̚ ˨˩
ความหลากหลายทางชีวภาพ	kʰ w aː m ˧ l aː k̚ ˨˩ l aː j ˩˩˦ tʰ aː ŋ ˧ t͡ɕʰ iː ˧ w a ˦˥ pʰ aː p̚ ˥˩
ความเร็ว	kʰ w aː m ˧ r e w ˧
ความเสียว	kʰ w aː m ˧ s i a̯ w ˩˩˦
คอลัมน์	kʰ ɔː ˧ l a m ˥˩
คะแนน	kʰ a ˦˥ n ɛː n ˧
คาด	kʰ aː t̚ ˥˩
คาน	kʰ aː n ˧
