два	d v a
яго	j a ɣ o
яны	j a n ɨ
каб	k a p
на	n a
віктар	vʲ i k t a r
гэта	ɣ e t a
заўсёды	z a u̯ sʲ o d ɨ
сам	s a m
што	ʂ t o
мы	m ɨ
тое	t o j e
будзе	b u d͡zʲ e
ня	nʲ a
як	j a k
зрабіць	z r a bʲ i t͡sʲ
адзін	a d͡zʲ i n
ці	t͡sʲ i
суадносіны	s u a d n o sʲ i n ɨ
раз	r a s
цяпер	t͡sʲ a pʲ e r
дадатковы	d a d a t k o v ɨ
ён	j o n
але	a lʲ e
беларусь	bʲ e ɫ a r u sʲ
кдб	k a d e b e
калі	k a lʲ i
гора	ɣ o r a
ужо	u ʐ o
які	j a kʲ i
ад	a t
адам	a d a m
двое	d v o j e
больш	b o lʲ ʂ
пры	p r ɨ
жыд	ʐ ɨ t
супрацоўніцтва	s u p r a t͡s o u̯ nʲ i t͡s t v a
беларусі	bʲ e ɫ a r u sʲ i
андрэй	a n d r e j
так	t a k
толькі	t o lʲ kʲ i
ноч	n o t͡ʂ
яшчэ	j a ʂ t͡ʂ e
людзі	lʲ u d͡zʲ i
праўда	p r a u̯ d a
ўсё	w sʲ o
быць	b ɨ t͡sʲ
рабіць	r a bʲ i t͡sʲ
ніколі	nʲ i k o lʲ i
прычына	p r ɨ t͡ʂ ɨ n a
тут	t u t
расея	r a sʲ e j a
паведаміць	p a vʲ e d a mʲ i t͡sʲ
імя	j i mʲ a
той	t o j
дах	d a x
бібліятэка	bʲ i b lʲ i j a t e k a
спадар	s p a d a r
уплыў	u p ɫ ɨ u̯
мяне	mʲ a nʲ e
дарэчы	d a r e t͡ʂ ɨ
азія	a zʲ i j a
перад	pʲ e r a t
прачытаць	p r a t͡ʂ ɨ t a t͡sʲ
яе	j a j e
грамадзянін	ɣ r a m a d͡zʲ a nʲ i n
ўладзімер	w ɫ a d͡zʲ i mʲ e r
напрыклад	n a p r ɨ k ɫ a t
ды	d ɨ
прывозіць	p r ɨ v o zʲ i t͡sʲ
ўплыў	w p ɫ ɨ u̯
спадзявацца	s p a d͡zʲ a v a t͡sː a
лічба	lʲ i d͡ʐ b a
войска	v o j s k a
дзякуй	d͡zʲ a k u j
супраць	s u p r a t͡sʲ
вельмі	vʲ e lʲ mʲ i
эстонец	e s t o nʲ e t͡s
вы	v ɨ
крэсла	k r e s ɫ a
няма	nʲ a m a
будуць	b u d u t͡sʲ
шмат	ʂ m a t
бізнэс	bʲ i z n e s
юрый	j u r ɨ j
хто	x t o
партугалія	p a r t u ɣ a lʲ i j a
паўтара	p a u̯ t a r a
пакуль	p a k u lʲ
ніхто	nʲ i x t o
лукашэнка	ɫ u k a ʂ e n k a
усё	u sʲ o
крызіс	k r ɨ zʲ i s
пакінуць	p a kʲ i n u t͡sʲ
асоба	a s o b a
вось	v o sʲ
дзень	d͡zʲ e nʲ
ты	t ɨ
пяць	pʲ a t͡sʲ
гэты	ɣ e t ɨ
беларускі	bʲ e ɫ a r u s kʲ i
адказ	a t k a s
сяргей	sʲ a r ɣʲ e j
тады	t a d ɨ
выдаць	v ɨ d a t͡sʲ
кола	k o ɫ a
таксама	t a k s a m a
дваццаць	d v a t͡sː a t͡sʲ
суд	s u t
паміж	p a mʲ i ʂ
валянцін	v a lʲ a nʲ t͡sʲ i n
цудоўны	t͡s u d o u̯ n ɨ
прадстаўнік	p r a t s t a u̯ nʲ i k
кароль	k a r o lʲ
аднак	a d n a k
кожны	k o ʐ n ɨ
лукашэнкі	ɫ u k a ʂ e n kʲ i
лічыць	lʲ i t͡ʂ ɨ t͡sʲ
сказаць	s k a z a t͡sʲ
справа	s p r a v a
сіла	sʲ i ɫ a
выпадак	v ɨ p a d a k
дровы	d r o v ɨ
вучыцца	v u t͡ʂ ɨ t͡sː a
сябе	sʲ a bʲ e
іх	j i x
беларуская	bʲ e ɫ a r u s k a j a
гэтыя	ɣ e t ɨ j a
мастацтва	m a s t a t͡s t v a
сад	s a t
свабода	s v a b o d a
часта	t͡ʂ a s t a
наступства	n a s t u p s t v a
мець	mʲ e t͡sʲ
без	bʲ e s
часам	t͡ʂ a s a m
горад	ɣ o r a t
