eigen	ɛ i̯ ɣ ə n
weer	ʋ eː r
ze	z ə
grens	ɣ r ɛ n s
liep	l i p
dat	d ɑ t
door	d oː r
gelegen	ɣ ə l eː ɣ ə n
ook	oː k
diepvrieskast	d i p f r i s k ɑ s t
wat	ʋ ɑ t
je	j ə
rotterdam	r ɔ t ə r d ɑ m
locatie	l oː k aː t s i
blijven	b l ɛ i̯ v ə n
miljoen	m ɪ l j u n
werd	ʋ ɛ r t
gevallen	ɣ ə v ɑ l ə n
voor	v oː r
aantrekkelijk	aː n t r ɛ k ə l ə k
uit	œ y̯ t
op	ɔ p
onze	ɔ n z ə
maar	m aː r
tweede	t ʋ eː d ə
eerder	eː r d ə r
zit	z ɪ t
twee	t ʋ eː
als	ɑ l s
behoefte	b ə ɦ u f t ə
hebben	ɦ ɛ b ə n
hadden	ɦ ɑ d ə n
deel	d eː l
licht	l ɪ x t
subsidie	s ʏ p s i d i
worden	ʋ ɔ r d ə n
aan	aː n
aansluiten	aː n s l œ y̯ t ə n
einde	ɛ i̯ n d ə
maanden	m aː n d ə n
bij	b ɛ i̯
omzet	ɔ m z ɛ t
geen	ɣ eː n
riskeren	r ɪ s k eː r ə n
anders	ɑ n d ə r s
lassen	l ɑ s ə n
had	ɦ ɑ t
paar	p aː r
sneller	s n ɛ l ə r
mensen	m ɛ n s ə n
dicht	d ɪ x t
zegt	z ɛ x t
hij	ɦ ɛ i̯
of	ɔ f
ziekenhuis	z i k ə n ɦ œ y̯ s
uur	y r
zwik	z ʋ ɪ k
coureur	k u r øː r
kalm	k ɑ l m
voorbij	v oː r b ɛ i̯
klasse	k l ɑ s ə
vragen	v r aː ɣ ə n
ons	ɔ n s
naar	n aː r
onder	ɔ n d ə r
stemmen	s t ɛ m ə n
nader	n aː d ə r
zo	z oː
scheen	s x eː n
effect	ɛ f ɛ k t
parijs	p aː r ɛ i̯ s
daar	d aː r
tekort	t ə k ɔ r t
eerste	eː r s t ə
komen	k oː m ə n
afzetten	ɑ f s ɛ t ə n
nog	n ɔ x
alles	ɑ l ə s
wel	ʋ ɛ l
komt	k ɔ m t
vrouw	v r ɑ u̯
moet	m u t
desnoods	d ɛ s n oː t s
zouden	z ɑ u̯ d ə n
doen	d u n
manier	m aː n iː r
gebruiken	ɣ ə b r œ y̯ k ə n
heb	ɦ ɛ p
blanke	b l ɑ ŋ k ə
onafhankelijk	ɔ n ɑ f ɦ ɑ ŋ k ə l ə k
ziel	z i l
hoe	ɦ u
richting	r ɪ x t ɪ ŋ
aanpassen	aː m p ɑ s ə n
kruiden	k r œ y̯ d ə n
